i,t
65,0.008
28,0.019
84,0.0245
44,0.038
95,0.0535
90,0.055
1,0.068
30,0.07100000000000001
1,0.073
18,0.082
71,0.082
2,0.083
72,0.08700000000000001
2,0.08750000000000001
3,0.088
72,0.091
73,0.092
2,0.093
75,0.096
74,0.097
84,0.1
75,0.10200000000000001
4,0.10300000000000001
5,0.10400000000000001
6,0.106
4,0.107
76,0.107
32,0.109
9,0.1115
77,0.112
78,0.117
79,0.122
7,0.125
80,0.127
8,0.132
88,0.136
52,0.1395
9,0.14
10,0.14100000000000001
68,0.167
11,0.1675
56,0.1875
90,0.199
45,0.2005
45,0.203
84,0.2095
25,0.215
95,0.22
42,0.2225
24,0.228
89,0.23
39,0.23600000000000002
61,0.23650000000000002
38,0.2435
55,0.2455
44,0.247
2,0.267
37,0.28150000000000003
57,0.28350000000000003
1,0.2975
1,0.3005
84,0.302
34,0.309
29,0.3385
33,0.3425
77,0.3555
8,0.3755
49,0.378
65,0.378
25,0.3915
76,0.397
51,0.41000000000000003
28,0.41100000000000003
52,0.41600000000000004
35,0.424
20,0.425
53,0.427
78,0.4295
42,0.4315
45,0.4335
54,0.441
55,0.442
12,0.4425
56,0.45
48,0.4595
57,0.462
11,0.4635
95,0.465
84,0.4685
58,0.47200000000000003
5,0.47500000000000003
90,0.483
59,0.488
60,0.49
88,0.504
31,0.511
1,0.516
21,0.516
1,0.5205
43,0.5215
22,0.526
23,0.536
2,0.542
79,0.543
2,0.545
24,0.546
25,0.556
10,0.5605
26,0.5660000000000001
71,0.5730000000000001
0,0.5735
27,0.5760000000000001
84,0.577
72,0.578
0,0.579
34,0.5825
16,0.583
73,0.583
48,0.5855
28,0.586
74,0.588
75,0.593
54,0.5935
29,0.596
76,0.598
77,0.603
30,0.606
66,0.6065
78,0.608
3,0.6105
79,0.613
80,0.618
50,0.623
64,0.6395000000000001
56,0.6475
95,0.6585
61,0.681
62,0.6890000000000001
31,0.6920000000000001
43,0.6955
32,0.7000000000000001
55,0.7010000000000001
61,0.7020000000000001
63,0.709
69,0.7095
62,0.71
33,0.711
7,0.719
64,0.723
24,0.724
34,0.7255
34,0.727
54,0.73
63,0.73
39,0.7305
65,0.735
39,0.736
35,0.74
88,0.7415
64,0.744
66,0.749
36,0.75
67,0.751
65,0.756
68,0.757
37,0.762
42,0.7635000000000001
69,0.764
48,0.7655000000000001
38,0.768
66,0.77
70,0.77
67,0.772
51,0.7765
39,0.778
68,0.778
46,0.7795
40,0.784
69,0.785
70,0.791
95,0.792
1,0.8015
1,0.8045
15,0.808
72,0.8105
88,0.8125
11,0.8235
3,0.8245
71,0.841
19,0.8445
72,0.846
84,0.8475
73,0.851
2,0.853
74,0.856
75,0.861
76,0.866
77,0.871
78,0.876
57,0.8805000000000001
79,0.881
80,0.886
56,0.8865000000000001
23,0.89
41,0.891
58,0.8935000000000001
11,0.904
12,0.906
13,0.908
14,0.91
15,0.912
16,0.914
17,0.916
18,0.918
19,0.92
20,0.922
61,0.923
21,0.929
11,0.931
12,0.933
13,0.935
14,0.937
60,0.9385
15,0.9390000000000001
22,0.9390000000000001
16,0.9410000000000001
17,0.9430000000000001
18,0.9450000000000001
19,0.9470000000000001
20,0.9490000000000001
23,0.9490000000000001
25,0.9505
5,0.9535
24,0.9590000000000001
72,0.9615
25,0.969
35,0.97
26,0.979
27,0.989
4,0.995
28,0.999
84,1.0
33,1.0070000000000001
29,1.0090000000000001
67,1.0115
30,1.0190000000000001
74,1.0205
44,1.046
50,1.0465
95,1.049
5,1.0575
38,1.0605
64,1.08
69,1.084
1,1.087
12,1.093
56,1.1115
14,1.1135
11,1.116
12,1.118
13,1.12
75,1.1215
14,1.122
15,1.124
16,1.1260000000000001
17,1.1280000000000001
18,1.1300000000000001
57,1.131
19,1.1320000000000001
20,1.1340000000000001
10,1.1415
22,1.1440000000000001
90,1.1460000000000001
30,1.1565
95,1.1745
84,1.1805
88,1.1815
68,1.1945000000000001
8,1.2035
55,1.208
32,1.213
31,1.2135
1,1.214
1,1.2185
34,1.2235
2,1.229
3,1.234
58,1.2455
4,1.249
5,1.25
6,1.252
4,1.2535
51,1.26
52,1.266
11,1.268
7,1.2710000000000001
53,1.2770000000000001
8,1.278
9,1.286
10,1.287
54,1.291
55,1.292
84,1.292
56,1.3
25,1.3015
95,1.304
57,1.312
31,1.321
39,1.321
58,1.322
32,1.329
23,1.332
59,1.3355000000000001
59,1.338
33,1.34
60,1.34
20,1.3485
72,1.3505
34,1.356
71,1.363
35,1.369
51,1.369
18,1.3695
62,1.374
52,1.375
36,1.379
36,1.3825
53,1.3860000000000001
46,1.3900000000000001
11,1.391
37,1.391
12,1.393
13,1.395
14,1.397
38,1.397
15,1.399
54,1.4000000000000001
16,1.401
55,1.401
17,1.403
18,1.405
19,1.407
39,1.407
21,1.4085
20,1.409
56,1.409
26,1.41
29,1.413
40,1.413
88,1.419
41,1.42
57,1.421
73,1.4285
58,1.431
42,1.438
77,1.4445000000000001
59,1.447
60,1.449
43,1.456
48,1.4565000000000001
44,1.461
45,1.468
46,1.47
49,1.4745
9,1.4775
47,1.478
84,1.4795
24,1.4835
30,1.487
8,1.4885
48,1.491
32,1.4915
49,1.492
88,1.502
0,1.5025
50,1.5070000000000001
31,1.5115
61,1.5190000000000001
62,1.5270000000000001
51,1.528
33,1.5290000000000001
22,1.5330000000000001
67,1.538
63,1.547
1,1.558
64,1.561
20,1.5615
1,1.563
21,1.57
2,1.573
65,1.573
41,1.575
19,1.576
2,1.578
3,1.578
73,1.579
22,1.58
95,1.584
66,1.587
67,1.589
23,1.59
4,1.593
42,1.593
5,1.594
80,1.594
68,1.595
6,1.596
25,1.596
4,1.598
11,1.599
24,1.6
12,1.601
34,1.602
41,1.602
69,1.602
13,1.603
14,1.605
39,1.605
15,1.607
70,1.608
16,1.609
25,1.61
17,1.611
43,1.611
18,1.613
7,1.615
19,1.615
44,1.616
20,1.617
26,1.62
42,1.62
8,1.622
45,1.623
26,1.625
46,1.625
45,1.6265
9,1.6300000000000001
27,1.6300000000000001
10,1.631
47,1.633
43,1.6380000000000001
28,1.6400000000000001
44,1.643
48,1.6460000000000001
49,1.647
29,1.6500000000000001
45,1.6500000000000001
33,1.6515
46,1.6520000000000001
84,1.655
36,1.6580000000000001
30,1.6600000000000001
47,1.6600000000000001
50,1.6620000000000001
48,1.673
49,1.674
65,1.688
50,1.689
13,1.7065000000000001
21,1.707
61,1.709
74,1.7105000000000001
22,1.717
52,1.72
11,1.7215
21,1.722
23,1.727
22,1.732
95,1.734
24,1.737
69,1.7415
23,1.742
84,1.7465
25,1.747
24,1.752
71,1.7530000000000001
37,1.7550000000000001
26,1.7570000000000001
25,1.762
27,1.7670000000000001
26,1.772
18,1.7745
28,1.7770000000000001
40,1.7795
27,1.782
29,1.7870000000000001
70,1.7875
28,1.792
31,1.794
30,1.797
29,1.802
32,1.802
30,1.812
33,1.813
88,1.8145
55,1.8185
84,1.8265
34,1.829
31,1.838
35,1.842
21,1.8445
32,1.846
49,1.851
36,1.852
33,1.857
6,1.859
21,1.859
37,1.864
22,1.869
62,1.869
38,1.87
79,1.872
34,1.873
23,1.879
39,1.8800000000000001
35,1.8860000000000001
40,1.8860000000000001
24,1.889
36,1.8960000000000001
25,1.899
37,1.9080000000000001
26,1.909
3,1.9140000000000001
38,1.9140000000000001
27,1.919
39,1.924
28,1.929
40,1.93
12,1.9315
66,1.9365
29,1.939
5,1.9405000000000001
64,1.9485000000000001
30,1.949
52,1.9525000000000001
21,1.9585000000000001
57,1.964
48,1.9665000000000001
32,1.9745000000000001
31,1.9985
51,2.0075
47,2.0115
84,2.0245
0,2.031
63,2.0460000000000003
68,2.0460000000000003
23,2.056
73,2.0705
16,2.0755
39,2.0855
31,2.089
32,2.097
33,2.108
95,2.1135
15,2.1155
1,2.1205
1,2.124
34,2.124
84,2.133
27,2.1350000000000002
35,2.137
24,2.1385
36,2.1470000000000002
31,2.148
14,2.149
80,2.1505
77,2.1545
32,2.156
44,2.157
37,2.1590000000000003
38,2.165
33,2.1670000000000003
39,2.1750000000000003
69,2.1750000000000003
40,2.181
34,2.183
25,2.19
22,2.193
79,2.1945
35,2.196
45,2.196
36,2.206
37,2.218
38,2.224
39,2.234
84,2.2355
39,2.2395
40,2.24
1,2.253
47,2.253
1,2.255
62,2.255
64,2.2695
2,2.27
88,2.2735
3,2.275
29,2.2805
16,2.281
4,2.29
5,2.291
6,2.293
43,2.3025
14,2.3045
32,2.3105
7,2.312
8,2.319
59,2.32
41,2.322
70,2.3235
9,2.3255
9,2.327
10,2.328
46,2.332
84,2.332
42,2.34
61,2.34
62,2.348
71,2.3515
95,2.3515
43,2.358
18,2.3625000000000003
44,2.363
63,2.368
45,2.37
46,2.372
78,2.373
3,2.3765
47,2.38
48,2.38
64,2.382
67,2.3835
6,2.3875
48,2.3930000000000002
49,2.394
65,2.394
69,2.3955
19,2.398
66,2.408
50,2.4090000000000003
67,2.41
28,2.414
68,2.416
1,2.4170000000000003
1,2.42
0,2.422
22,2.422
69,2.423
1,2.4245
12,2.427
70,2.4290000000000003
61,2.43
2,2.432
3,2.437
62,2.438
52,2.439
2,2.4405
4,2.452
5,2.453
89,2.4545
6,2.455
63,2.458
51,2.466
30,2.472
52,2.472
64,2.472
7,2.474
8,2.481
53,2.483
65,2.484
9,2.489
10,2.49
95,2.492
54,2.497
55,2.498
66,2.498
67,2.5
56,2.5060000000000002
68,2.5060000000000002
84,2.5060000000000002
69,2.513
51,2.515
98,2.5165
57,2.5180000000000002
70,2.519
52,2.521
58,2.528
76,2.5315
53,2.532
51,2.539
13,2.5395
59,2.544
52,2.545
75,2.545
54,2.5460000000000003
60,2.5460000000000003
55,2.547
56,2.555
53,2.556
27,2.5565
79,2.5625
57,2.567
54,2.57
55,2.571
58,2.577
56,2.579
57,2.591
59,2.593
60,2.595
58,2.601
59,2.617
60,2.619
46,2.6215
11,2.632
12,2.634
13,2.636
14,2.638
15,2.64
16,2.642
17,2.644
18,2.646
19,2.648
20,2.65
84,2.66
10,2.6615
88,2.6625
7,2.6695
37,2.682
95,2.6845
31,2.6915
56,2.6965
72,2.7015000000000002
62,2.7105
32,2.73
26,2.7315
34,2.733
52,2.7405
38,2.7475
22,2.7505
84,2.7715
14,2.7760000000000002
60,2.7785
42,2.7895
27,2.7960000000000003
9,2.8120000000000003
95,2.817
3,2.829
84,2.8415
0,2.843
90,2.8835
71,2.884
72,2.8890000000000002
73,2.894
35,2.899
74,2.899
71,2.904
75,2.904
72,2.9090000000000003
76,2.9090000000000003
61,2.9130000000000003
73,2.914
77,2.914
74,2.919
78,2.919
32,2.9210000000000003
62,2.9210000000000003
75,2.924
79,2.924
50,2.9255
76,2.9290000000000003
80,2.9290000000000003
77,2.934
78,2.939
63,2.9410000000000003
36,2.942
79,2.944
80,2.949
23,2.9535
47,2.9535
64,2.955
53,2.956
31,2.9585
65,2.967
57,2.968
51,2.9685
30,2.9775
33,2.9775
66,2.981
67,2.983
68,2.989
95,2.9935
69,2.996
70,3.0020000000000002
71,3.009
72,3.0140000000000002
72,3.0175
73,3.019
42,3.023
74,3.024
75,3.029
2,3.0315
76,3.0340000000000003
6,3.0345
2,3.0355
54,3.0355
77,3.039
90,3.0415
78,3.044
79,3.049
80,3.0540000000000003
48,3.056
24,3.0615
68,3.0625
37,3.0635
27,3.0685000000000002
38,3.0725000000000002
84,3.075
7,3.0905
36,3.104
34,3.113
90,3.1135
83,3.1205000000000003
31,3.1295
1,3.13
1,3.1345
1,3.138
67,3.1435
2,3.145
95,3.1495
3,3.15
65,3.1605
4,3.165
5,3.166
56,3.166
6,3.168
7,3.1870000000000003
50,3.1905
8,3.194
27,3.1955
9,3.202
10,3.203
9,3.207
41,3.222
52,3.2275
77,3.236
70,3.244
41,3.247
15,3.249
33,3.2505
41,3.251
90,3.251
42,3.265
42,3.269
40,3.2765
43,3.283
84,3.283
75,3.2865
43,3.287
44,3.2880000000000003
13,3.2885
44,3.2920000000000003
45,3.295
46,3.297
45,3.299
46,3.301
47,3.305
55,3.306
47,3.309
48,3.318
49,3.319
48,3.322
49,3.323
16,3.33
35,3.331
50,3.334
63,3.3355
50,3.338
61,3.344
38,3.353
60,3.358
29,3.366
66,3.3715
79,3.3715
8,3.3770000000000002
11,3.3805
95,3.416
34,3.4165
30,3.4185
59,3.4295
5,3.4435000000000002
90,3.459
76,3.468
14,3.4715000000000003
